employee_id,employee_name,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
EMP00001,Ali Garcia,24,Self-emp,33444,Bachelors,15,Married,Sales,Wife,Other,Male,4573,4868,56,Mexico,>50K
EMP00002,Alice Chen,54,Private,92469,Bachelors,8,Married,Sales,Own-child,White,Female,1914,1043,48,Mexico,<=50K
EMP00003,John Singh,55,Government,71012,HS-grad,2,Separated,Craft-repair,Husband,Asian-Pac-Islander,Male,4104,2343,46,Germany,<=50K
EMP00004,Raj Patel,34,Unemployed,25560,Assoc,5,Married,Tech-support,Husband,White,Male,2654,2482,60,Germany,>50K
EMP00005,Sara Nguyen,37,Government,75877,Masters,15,Never-married,Sales,Not-in-family,Black,Male,3256,657,28,Mexico,>50K
EMP00006,Priya Nguyen,46,Self-emp,80229,Masters,8,Married,Prof-specialty,Wife,White,Male,9368,4223,54,United-States,>50K
EMP00007,Meena Lee,43,Private,62421,Doctorate,15,Divorced,Tech-support,Not-in-family,White,Female,9801,125,36,India,>50K
EMP00008,Raj Chen,58,Government,18755,HS-grad,4,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,4832,3909,20,India,<=50K
EMP00009,Sara Fernandez,45,Unemployed,38108,Assoc,3,Divorced,Exec-managerial,Husband,Black,Male,9530,777,55,United-States,<=50K
EMP00010,Raj Garcia,43,Government,87333,Masters,14,Never-married,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,4297,4833,41,Mexico,<=50K
EMP00011,Raj Fernandez,40,Self-emp,18808,Masters,2,Never-married,Tech-support,Husband,Amer-Indian-Eskimo,Male,5926,4077,46,Germany,>50K
EMP00012,Priya Smith,37,Unemployed,30613,Masters,1,Married,Craft-repair,Unmarried,Black,Female,4429,3210,58,India,>50K
EMP00013,Priya Brown,42,Private,24754,HS-grad,15,Never-married,Exec-managerial,Husband,Black,Male,310,2167,38,Germany,>50K
EMP00014,Tom Kumar,33,Private,97132,Assoc,12,Divorced,Prof-specialty,Husband,Black,Male,4526,1715,54,India,<=50K
EMP00015,John Brown,60,Self-emp,94946,HS-grad,1,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Male,5085,2201,26,United-States,>50K
EMP00016,Raj Lee,23,Private,78675,Doctorate,11,Married,Exec-managerial,Own-child,White,Female,2201,3933,30,United-States,>50K
EMP00017,Alice Kumar,44,Government,75990,Doctorate,12,Married,Craft-repair,Wife,White,Male,8695,2603,45,Philippines,>50K
EMP00018,Tom Chen,23,Government,30057,Masters,10,Never-married,Prof-specialty,Husband,Other,Female,9903,2985,44,Philippines,<=50K
EMP00019,Raj Singh,55,Government,86781,Bachelors,2,Married,Prof-specialty,Own-child,Black,Male,9451,1817,31,India,<=50K
EMP00020,John Singh,41,Unemployed,32821,Doctorate,15,Divorced,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,4795,1373,34,Mexico,>50K
EMP00021,Ali Patel,29,Government,55918,Bachelors,12,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,9706,706,28,Germany,<=50K
EMP00022,John Patel,27,Government,60557,HS-grad,16,Divorced,Tech-support,Husband,Black,Female,7385,4490,55,United-States,>50K
EMP00023,Priya Lee,21,Government,78139,Masters,7,Married,Craft-repair,Not-in-family,White,Male,2970,4549,58,United-States,>50K
